"Word","Iconicity","ListIdentifier","KupermanAOA","SUBTLEX_Rawfreq","SUBTLEX_dom_POS","SUBTLEX_Percentage_dom_POS","OrthoLength","ParentalInputRawFreq","ChildesAge12Freq","ChildesAge15Freq","ChildesAge18Freq","ChildesAge21Freq","ChildesAge24Freq","ChildesAge27Freq","ChildesAge30Freq","ChildesAge33Freq","ChildesAge36Freq","ChildesAge39Freq","ChildesAge42Freq","ChildesAge45Freq","ChildesAge48Freq","ChildesAge51Freq","ChildesAge54Freq","ChildesAge57Freq","ChildesAge60Freq","ChildesAge63Freq","ChildesAge66Freq","ChildesAge69Freq","Conc","NMorph"
"verdict",0.307692307692308,"list2",11.05,558,"Noun","1.00",7,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,NA
"verge",-0.461538461538462,"list2",11.41,167,"Noun","0.99",5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32,NA
"vice",0.583333333333333,"list2",12.5,950,"Adjective","0.57",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.46,1
"victim",1.84615384615385,"list2",9.39,2434,"Noun","1.00",6,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59,NA
"view",0.384615384615385,"list2",5.63,1965,"Noun","0.88",4,27,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.21,1
"vinegar",-0.615384615384615,"list2",7.11,86,"Noun","1.00",7,12,0,0,0,0,0,1,0,6,2,0,1,0,0,1,3,3,0,0,0,0,4.89,1
"vinegary",0.142857142857143,"list2",10.47,3,"Adjective","1.00",8,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,NA
"vivid",0.416666666666667,"list2",11.83,104,"Adjective","1.00",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,1
"voice",0,"list2",4.83,4394,"Noun","0.97",5,154,0,0,0,0,0,2,1,12,0,4,3,1,5,5,91,19,1,2,3,3,4.13,1
"volume",-0.692307692307692,"list2",6.35,354,"Noun","1.00",6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,1
"voluntary",1.64285714285714,"list2",9.17,103,"Adjective","1.00",9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,2
